Driver type,Sex,Age group ,severity,year,result
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2019,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2020,0
Bus or coach drivers,Female,Under 16,FSC (unadjusted),2021,0
Bus or coach drivers,Female,16,FSC (unadjusted),2012,0
Bus or coach drivers,Female,16,FSC (unadjusted),2013,0
Bus or coach drivers,Female,16,FSC (unadjusted),2014,0
Bus or coach drivers,Female,16,FSC (unadjusted),2015,0
Bus or coach drivers,Female,16,FSC (unadjusted),2016,0
Bus or coach drivers,Female,16,FSC (unadjusted),2017,0
Bus or coach drivers,Female,16,FSC (unadjusted),2018,0
Bus or coach drivers,Female,16,FSC (unadjusted),2019,0
Bus or coach drivers,Female,16,FSC (unadjusted),2020,0
Bus or coach drivers,Female,16,FSC (unadjusted),2021,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2012,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2013,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2014,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2015,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2016,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2017,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2018,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2019,1
Bus or coach drivers,Female,17-20,FSC (unadjusted),2020,0
Bus or coach drivers,Female,17-20,FSC (unadjusted),2021,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2012,2
Bus or coach drivers,Female,21-24,FSC (unadjusted),2013,2
Bus or coach drivers,Female,21-24,FSC (unadjusted),2014,2
Bus or coach drivers,Female,21-24,FSC (unadjusted),2015,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2016,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2017,0
Bus or coach drivers,Female,21-24,FSC (unadjusted),2018,3
Bus or coach drivers,Female,21-24,FSC (unadjusted),2019,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2020,1
Bus or coach drivers,Female,21-24,FSC (unadjusted),2021,4
Bus or coach drivers,Female,25-29,FSC (unadjusted),2012,7
Bus or coach drivers,Female,25-29,FSC (unadjusted),2013,0
Bus or coach drivers,Female,25-29,FSC (unadjusted),2014,2
Bus or coach drivers,Female,25-29,FSC (unadjusted),2015,5
Bus or coach drivers,Female,25-29,FSC (unadjusted),2016,0
Bus or coach drivers,Female,25-29,FSC (unadjusted),2017,5
Bus or coach drivers,Female,25-29,FSC (unadjusted),2018,6
Bus or coach drivers,Female,25-29,FSC (unadjusted),2019,3
Bus or coach drivers,Female,25-29,FSC (unadjusted),2020,1
Bus or coach drivers,Female,25-29,FSC (unadjusted),2021,6
Bus or coach drivers,Female,30-39,FSC (unadjusted),2012,8
Bus or coach drivers,Female,30-39,FSC (unadjusted),2013,9
Bus or coach drivers,Female,30-39,FSC (unadjusted),2014,6
Bus or coach drivers,Female,30-39,FSC (unadjusted),2015,8
Bus or coach drivers,Female,30-39,FSC (unadjusted),2016,6
Bus or coach drivers,Female,30-39,FSC (unadjusted),2017,6
Bus or coach drivers,Female,30-39,FSC (unadjusted),2018,9
Bus or coach drivers,Female,30-39,FSC (unadjusted),2019,10
Bus or coach drivers,Female,30-39,FSC (unadjusted),2020,7
Bus or coach drivers,Female,30-39,FSC (unadjusted),2021,9
Bus or coach drivers,Female,40-49,FSC (unadjusted),2012,19
Bus or coach drivers,Female,40-49,FSC (unadjusted),2013,16
Bus or coach drivers,Female,40-49,FSC (unadjusted),2014,15
Bus or coach drivers,Female,40-49,FSC (unadjusted),2015,16
Bus or coach drivers,Female,40-49,FSC (unadjusted),2016,5
Bus or coach drivers,Female,40-49,FSC (unadjusted),2017,25
Bus or coach drivers,Female,40-49,FSC (unadjusted),2018,16
Bus or coach drivers,Female,40-49,FSC (unadjusted),2019,25
Bus or coach drivers,Female,40-49,FSC (unadjusted),2020,9
Bus or coach drivers,Female,40-49,FSC (unadjusted),2021,6
Bus or coach drivers,Female,50-59,FSC (unadjusted),2012,12
Bus or coach drivers,Female,50-59,FSC (unadjusted),2013,4
Bus or coach drivers,Female,50-59,FSC (unadjusted),2014,11
Bus or coach drivers,Female,50-59,FSC (unadjusted),2015,19
Bus or coach drivers,Female,50-59,FSC (unadjusted),2016,10
Bus or coach drivers,Female,50-59,FSC (unadjusted),2017,12
Bus or coach drivers,Female,50-59,FSC (unadjusted),2018,18
Bus or coach drivers,Female,50-59,FSC (unadjusted),2019,15
Bus or coach drivers,Female,50-59,FSC (unadjusted),2020,9
Bus or coach drivers,Female,50-59,FSC (unadjusted),2021,16
Bus or coach drivers,Female,60-69,FSC (unadjusted),2012,3
Bus or coach drivers,Female,60-69,FSC (unadjusted),2013,2
Bus or coach drivers,Female,60-69,FSC (unadjusted),2014,3
Bus or coach drivers,Female,60-69,FSC (unadjusted),2015,5
Bus or coach drivers,Female,60-69,FSC (unadjusted),2016,1
Bus or coach drivers,Female,60-69,FSC (unadjusted),2017,5
Bus or coach drivers,Female,60-69,FSC (unadjusted),2018,6
Bus or coach drivers,Female,60-69,FSC (unadjusted),2019,7
Bus or coach drivers,Female,60-69,FSC (unadjusted),2020,2
Bus or coach drivers,Female,60-69,FSC (unadjusted),2021,3
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2012,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2013,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2014,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2015,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2016,1
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2017,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2018,1
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2019,1
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2020,0
Bus or coach drivers,Female,70 and over,FSC (unadjusted),2021,0
Bus or coach drivers,Female,All ages,FSC (unadjusted),2012,53
Bus or coach drivers,Female,All ages,FSC (unadjusted),2013,34
Bus or coach drivers,Female,All ages,FSC (unadjusted),2014,40
Bus or coach drivers,Female,All ages,FSC (unadjusted),2015,56
Bus or coach drivers,Female,All ages,FSC (unadjusted),2016,24
Bus or coach drivers,Female,All ages,FSC (unadjusted),2017,53
Bus or coach drivers,Female,All ages,FSC (unadjusted),2018,59
Bus or coach drivers,Female,All ages,FSC (unadjusted),2019,65
Bus or coach drivers,Female,All ages,FSC (unadjusted),2020,29
Bus or coach drivers,Female,All ages,FSC (unadjusted),2021,47
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2012,0
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2013,0
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2014,1
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2015,0
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2016,0
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2017,0
Light goods vehicle drivers,Female,Under 16,FSC (unadjusted),2018,0
