Driver type,Sex [note 1],"Age group [notes 2, 3]",Severity adjustment [note 4],2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Heavy goods vehicle drivers,All,16,FSC (unadjusted),0,0,0,0,0,0,1,0,0,0
Heavy goods vehicle drivers,All,17-20,FSC (unadjusted),5,12,4,8,10,4,10,3,6,8
Heavy goods vehicle drivers,All,21-24,FSC (unadjusted),26,29,31,39,28,32,23,27,16,23
Heavy goods vehicle drivers,All,25-29,FSC (unadjusted),66,65,76,78,80,104,92,71,60,54
Heavy goods vehicle drivers,All,30-39,FSC (unadjusted),227,221,217,220,207,228,237,218,178,191
Heavy goods vehicle drivers,All,40-49,FSC (unadjusted),415,371,365,372,316,305,285,277,201,209
Heavy goods vehicle drivers,All,50-59,FSC (unadjusted),324,354,305,346,355,326,334,306,282,310
Heavy goods vehicle drivers,All,60-69,FSC (unadjusted),131,121,166,144,142,117,137,125,111,128
Heavy goods vehicle drivers,All,70 and over,FSC (unadjusted),10,13,10,9,11,14,13,19,8,8
Heavy goods vehicle drivers,All,All ages,FSC (unadjusted),"1,301","1,275","1,246","1,291","1,220","1,202","1,207","1,116",915,986
Other or unknown vehicle drivers,All,Under 16,FSC (unadjusted),13,5,13,9,12,14,13,14,25,69
Other or unknown vehicle drivers,All,16,FSC (unadjusted),5,3,6,2,3,6,2,7,11,11
Other or unknown vehicle drivers,All,17-20,FSC (unadjusted),29,33,29,26,25,24,24,24,49,91
Other or unknown vehicle drivers,All,21-24,FSC (unadjusted),28,27,26,29,42,52,44,48,57,76
Other or unknown vehicle drivers,All,25-29,FSC (unadjusted),35,41,43,47,52,60,76,54,67,108
Other or unknown vehicle drivers,All,30-39,FSC (unadjusted),85,79,70,75,112,142,121,109,141,219
Other or unknown vehicle drivers,All,40-49,FSC (unadjusted),97,84,71,79,118,139,117,105,93,105
Other or unknown vehicle drivers,All,50-59,FSC (unadjusted),62,60,94,78,118,96,120,117,99,118
Other or unknown vehicle drivers,All,60-69,FSC (unadjusted),60,51,36,44,53,65,76,68,47,54
Other or unknown vehicle drivers,All,70 and over,FSC (unadjusted),62,56,67,77,68,59,83,57,46,55
Other or unknown vehicle drivers,All,All ages,FSC (unadjusted),554,512,531,556,763,840,868,782,778,"1,096"
All drivers and riders,All,Under 16,FSC (unadjusted),353,314,332,326,368,432,411,448,410,481
All drivers and riders,All,16,FSC (unadjusted),265,210,217,206,204,243,201,187,181,159
All drivers and riders,All,17-20,FSC (unadjusted),"3,007","2,823","2,678","2,676","2,786","2,838","2,832","2,872","2,338","2,759"
All drivers and riders,All,21-24,FSC (unadjusted),"3,294","3,191","3,304","3,256","3,500","3,541","3,293","3,174","2,682","3,167"
All drivers and riders,All,25-29,FSC (unadjusted),"3,655","3,547","3,861","3,879","4,212","4,448","4,545","4,453","3,611","4,002"
All drivers and riders,All,30-39,FSC (unadjusted),"6,683","6,052","6,508","6,181","7,238","7,584","7,955","8,063","6,410","7,680"
All drivers and riders,All,40-49,FSC (unadjusted),"7,131","6,643","6,894","6,514","6,628","6,684","6,817","6,697","5,194","5,862"
All drivers and riders,All,50-59,FSC (unadjusted),"5,218","5,067","5,575","5,494","5,931","6,063","6,472","6,437","5,173","6,049"
All drivers and riders,All,60-69,FSC (unadjusted),"2,975","2,895","3,180","2,926","3,201","3,184","3,528","3,542","2,892","3,224"
All drivers and riders,All,70 and over,FSC (unadjusted),"2,199","2,264","2,478","2,466","2,685","2,857","3,168","3,120","2,201","2,660"
All drivers and riders,All,All ages,FSC (unadjusted),"37,859","35,953","38,011","37,006","39,983","41,448","43,045","42,830","34,203","39,843"
Pedal cyclists,Female,Under 16,FSC (adjusted),72,63,60,57,49,60,39,52,43,59
Pedal cyclists,Female,16,FSC (adjusted),6,9,14,7,6,7,6,6,8,7
Pedal cyclists,Female,17-20,FSC (adjusted),43,43,42,39,28,34,34,38,35,23
