driverType,Sex,ageGroup,Severity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Pedal cyclists,All,70 and over,All collisions,371,374,383,390,398,446,437,428,530,485
Pedal cyclists,All,All ages,All collisions,"19,708","20,049","21,979","19,440","19,047","18,954","18,125","17,437","16,766","17,101"
Motorcycle riders,All,Under 16,All collisions,36,48,35,48,53,68,68,65,49,77
Motorcycle riders,All,16,All collisions,986,751,680,593,564,527,386,368,318,272
Motorcycle riders,All,17-20,All collisions,"3,843","3,606","3,776","3,548","3,275","2,920","2,531","2,423","1,916","2,575"
Motorcycle riders,All,21-24,All collisions,"2,455","2,650","2,926","3,068","3,009","2,616","2,192","2,056","1,699","1,972"
Motorcycle riders,All,25-29,All collisions,"2,271","2,310","2,773","2,895","2,885","2,850","2,626","2,571","2,266","2,473"
Motorcycle riders,All,30-39,All collisions,"3,409","3,227","3,670","3,527","3,600","3,595","3,585","3,555","3,352","3,844"
Motorcycle riders,All,40-49,All collisions,"3,460","3,297","3,323","3,090","2,844","2,539","2,450","2,263","1,782","2,040"
Motorcycle riders,All,50-59,All collisions,"2,098","2,092","2,409","2,353","2,337","2,282","2,239","2,136","1,636","1,913"
Motorcycle riders,All,60-69,All collisions,728,727,813,784,801,784,816,832,682,804
Motorcycle riders,All,70 and over,All collisions,169,164,213,240,216,240,241,265,225,263
Motorcycle riders,All,All ages,All collisions,"20,171","19,538","21,378","20,996","20,423","19,204","17,890","17,369","14,697","17,080"
Car drivers,All,Under 16,All collisions,19,26,24,28,24,24,34,27,30,27
Car drivers,All,16,All collisions,53,37,46,63,65,117,84,73,60,58
Car drivers,All,17-20,All collisions,"14,717","12,551","12,762","12,205","11,825","10,876","9,828","9,397","7,105","6,962"
Car drivers,All,21-24,All collisions,"18,323","16,817","17,396","16,723","15,892","14,170","12,488","11,684","9,340","10,135"
Car drivers,All,25-29,All collisions,"20,772","19,473","20,672","20,637","20,336","19,042","17,351","16,099","12,110","12,850"
Car drivers,All,30-39,All collisions,"36,769","34,569","36,247","35,241","35,449","34,209","32,340","30,937","23,125","26,195"
Car drivers,All,40-49,All collisions,"35,315","32,794","33,802","31,867","30,273","27,806","25,638","23,718","17,442","19,483"
Car drivers,All,50-59,All collisions,"23,799","22,652","24,579","23,602","23,201","22,170","21,106","20,103","14,419","15,923"
Car drivers,All,60-69,All collisions,"14,011","13,609","14,570","13,394","13,185","12,093","11,578","11,102","7,719","9,071"
Car drivers,All,70 and over,All collisions,"10,927","11,116","11,906","11,246","11,518","11,245","11,290","10,559","7,117","8,232"
Car drivers,All,All ages,All collisions,"197,388","185,769","195,576","188,872","185,307","174,143","165,050","157,787","116,982","129,333"
Bus or coach drivers,All,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Bus or coach drivers,All,16,All collisions,1,0,1,0,0,4,1,1,2,0
Bus or coach drivers,All,17-20,All collisions,21,18,18,14,24,28,42,39,16,10
Bus or coach drivers,All,21-24,All collisions,151,129,141,115,129,135,136,93,54,73
Bus or coach drivers,All,25-29,All collisions,379,329,333,311,320,326,298,225,125,133
Bus or coach drivers,All,30-39,All collisions,"1,133",936,"1,005",905,860,895,790,646,379,455
Bus or coach drivers,All,40-49,All collisions,"1,675","1,656","1,584","1,355","1,183","1,207",999,908,490,548
Bus or coach drivers,All,50-59,All collisions,"1,480","1,477","1,571","1,449","1,355","1,318","1,235","1,078",606,757
Bus or coach drivers,All,60-69,All collisions,700,620,630,526,499,557,474,425,273,350
Bus or coach drivers,All,70 and over,All collisions,36,40,50,39,48,43,44,47,16,41
Bus or coach drivers,All,All ages,All collisions,"6,318","5,896","6,103","5,381","4,998","4,998","4,513","3,902","2,213","2,744"
Light goods vehicle drivers,All,Under 16,All collisions,0,1,1,1,0,0,0,1,1,3
Light goods vehicle drivers,All,16,All collisions,3,2,1,3,1,6,2,3,6,1
Light goods vehicle drivers,All,17-20,All collisions,282,295,272,292,285,238,220,242,191,186
Light goods vehicle drivers,All,21-24,All collisions,901,870,870,884,817,771,678,624,598,646
Light goods vehicle drivers,All,25-29,All collisions,"1,382","1,412","1,645","1,756","1,663","1,563","1,433","1,398","1,025","1,274"
Light goods vehicle drivers,All,30-39,All collisions,"2,602","2,598","2,973","2,814","2,897","2,897","2,780","2,953","2,433","2,886"
Light goods vehicle drivers,All,40-49,All collisions,"2,716","2,671","2,941","2,833","2,518","2,267","2,149","2,182","1,704","2,092"
Light goods vehicle drivers,All,50-59,All collisions,"1,787","1,890","2,081","2,066","1,998","1,944","1,959","1,951","1,553","2,027"
Light goods vehicle drivers,All,60-69,All collisions,720,737,818,771,782,723,693,772,709,795
Light goods vehicle drivers,All,70 and over,All collisions,110,152,122,168,150,190,173,199,132,238
Light goods vehicle drivers,All,All ages,All collisions,"12,575","12,686","14,043","13,876","13,125","12,479","12,062","12,579","10,338","12,463"
Heavy goods vehicle drivers,All,Under 16,All collisions,0,0,0,0,0,0,0,0,0,0
Heavy goods vehicle drivers,All,16,All collisions,0,1,0,0,0,0,1,0,0,0
Heavy goods vehicle drivers,All,17-20,All collisions,39,34,34,20,35,29,29,26,21,23
Heavy goods vehicle drivers,All,21-24,All collisions,164,150,215,177,161,138,131,122,76,75
Heavy goods vehicle drivers,All,25-29,All collisions,410,395,406,452,448,427,368,306,230,230
Heavy goods vehicle drivers,All,30-39,All collisions,"1,210","1,150","1,287","1,081","1,084","1,031",901,864,629,704
Heavy goods vehicle drivers,All,40-49,All collisions,"1,949","1,832","1,881","1,712","1,381","1,230","1,043",944,716,769
Heavy goods vehicle drivers,All,50-59,All collisions,"1,419","1,522","1,578","1,502","1,469","1,227","1,201","1,077",912,972
Heavy goods vehicle drivers,All,60-69,All collisions,602,524,614,596,535,493,475,420,360,366
Heavy goods vehicle drivers,All,70 and over,All collisions,48,47,50,48,48,46,47,53,26,41
Heavy goods vehicle drivers,All,All ages,All collisions,"6,720","6,524","6,873","6,470","5,819","5,136","4,753","4,339","3,399","3,549"
Other or unknown vehicle drivers,All,Under 16,All collisions,47,31,44,30,42,37,41,42,84,270
Other or unknown vehicle drivers,All,16,All collisions,18,13,14,11,13,16,15,16,36,67
Other or unknown vehicle drivers,All,17-20,All collisions,119,107,118,97,100,109,110,90,155,324
Other or unknown vehicle drivers,All,21-24,All collisions,180,131,144,149,173,199,156,135,188,263
Other or unknown vehicle drivers,All,25-29,All collisions,219,176,178,177,237,292,263,173,234,341
Other or unknown vehicle drivers,All,30-39,All collisions,483,356,362,398,494,618,596,427,490,696
Other or unknown vehicle drivers,All,40-49,All collisions,547,422,392,448,591,591,510,374,320,420
Other or unknown vehicle drivers,All,50-59,All collisions,349,315,380,415,508,504,549,377,363,388
Other or unknown vehicle drivers,All,60-69,All collisions,225,215,183,241,250,262,243,209,175,202
Other or unknown vehicle drivers,All,70 and over,All collisions,208,209,223,222,220,211,237,170,125,156
Other or unknown vehicle drivers,All,All ages,All collisions,"2,997","2,451","2,575","2,810","3,781","4,012","4,016","2,968","2,980","4,173"
All drivers and riders,All,Under 16,All collisions,"2,295","2,052","2,111","2,030","2,086","2,343","2,090","2,134","1,834","2,023"
All drivers and riders,All,16,All collisions,"1,398","1,142","1,141","1,015",997,"1,027",792,767,703,678
All drivers and riders,All,17-20,All collisions,"20,499","18,013","18,443","17,394","16,763","15,400","13,850","13,180","10,343","11,293"
All drivers and riders,All,21-24,All collisions,"23,858","22,480","23,549","22,703","21,637","19,469","17,044","15,893","13,096","14,396"
All drivers and riders,All,25-29,All collisions,"27,715","26,531","28,674","28,538","28,128","26,650","24,419","22,746","17,875","19,206"
All drivers and riders,All,30-39,All collisions,"49,745","47,185","50,268","47,974","48,313","47,029","44,689","43,005","33,670","38,154"
All drivers and riders,All,40-49,All collisions,"49,369","46,553","48,222","45,083","42,293","39,015","35,956","33,389","25,216","27,965"
All drivers and riders,All,50-59,All collisions,"32,946","32,098","35,132","33,826","33,319","31,975","30,836","29,104","22,074","24,464"
All drivers and riders,All,60-69,All collisions,"17,784","17,215","18,588","17,101","16,948","15,823","15,248","14,686","11,049","12,714"
All drivers and riders,All,70 and over,All collisions,"11,869","12,102","12,947","12,353","12,598","12,421","12,469","11,721","8,171","9,456"
All drivers and riders,All,All ages,All collisions,"265,877","252,913","268,527","257,845","252,500","238,926","226,409","216,381","167,375","186,443"
